,F,L,E,I,delta,theta
63,3875.1323,9.959837,165.10535,11074.25,69.79857,0.60229343
64,3877.4546,8.041047,177.44861,12792.206,29.60365,0.31640732
65,4959.948,9.864341,143.68913,5748.186,192.13449,1.6739836
66,2062.3584,7.17618,151.90907,7429.3184,22.510763,0.26959434
67,2930.7864,6.0091267,161.58524,9357.3955,14.019752,0.20051315
68,2490.797,8.262075,181.01883,7162.753,36.11443,0.37566915
69,2772.3945,6.687333,198.0097,12311.423,11.336994,0.14569978
70,3794.5073,6.56318,111.46882,13073.98,24.536678,0.3213035
71,4414.825,9.13549,131.67651,13400.365,63.586197,0.59819794
72,2365.679,10.636311,169.6505,10131.914,55.202778,0.4460503
73,4475.6177,7.5161667,191.42746,5413.6284,61.126324,0.69894946
74,4752.953,8.358581,193.51038,7885.91,60.62948,0.6233976
75,2760.6394,6.6887636,194.11783,10543.977,13.454145,0.1728718
76,3761.8079,8.936943,159.95073,8285.566,67.535774,0.6494695
77,2729.9336,9.212743,106.52087,11421.801,58.48284,0.5455736
78,3821.28,8.116237,154.59962,8297.432,53.0884,0.5621585
79,2804.566,10.402074,118.719734,13218.4795,67.050156,0.5539796
80,2915.6677,6.4879313,103.40229,13398.018,19.158644,0.25378874
81,2495.8752,8.164578,194.42462,13958.745,16.68419,0.17562461
82,2249.15,7.1123238,188.01799,10990.322,13.053348,0.15773362
83,4697.0215,10.69515,100.123604,6453.649,296.42862,2.3820293
84,3310.5747,10.617537,159.35861,8335.342,99.438484,0.8049048
85,3458.3867,10.959135,141.577,7098.532,150.98018,1.1840159
86,2753.4956,10.80011,141.77194,11524.023,70.77066,0.56316924
87,4545.5044,9.490142,127.11215,9105.1875,111.89302,1.0133144
88,2641.44,6.585714,169.22781,11301.771,13.149518,0.1716014
89,2893.307,6.80421,120.38483,10806.219,23.353977,0.29498306
90,2329.0781,9.099308,168.32956,8118.843,42.798973,0.40423965
91,2238.6792,6.267992,175.2854,10123.455,10.355745,0.14199296
92,4831.6904,10.082708,185.79358,8808.831,100.869644,0.8597995
93,2341.7065,9.586857,168.69556,10279.111,39.662556,0.35556445
94,3292.9124,9.096486,100.51324,6521.0127,126.04962,1.1909177
95,3065.8096,6.317945,117.565155,9583.308,22.874802,0.3111683
96,4049.4316,10.31862,174.96576,12930.063,65.55169,0.5459794
97,3901.2036,8.235411,160.46507,11828.211,38.267807,0.3993578
98,2350.1135,7.450906,110.9958,6704.8345,43.54118,0.50223273
99,4847.1113,9.805275,121.20903,13254.495,94.80754,0.83099234
100,2005.8014,8.711264,197.03748,7779.579,28.83402,0.284471
101,3648.359,7.3878994,183.69089,13522.125,19.742702,0.22966751
102,3374.684,9.085133,128.19875,8582.446,76.66741,0.72525954
103,3152.3892,6.832855,137.41576,13840.8955,17.624815,0.22168496
104,4522.2,10.823535,102.370094,12146.311,153.71577,1.2205714
105,4766.475,10.691243,149.10129,9128.011,142.66032,1.1468031
106,3695.395,9.652954,112.34705,12531.951,78.6937,0.7006378
107,2970.2014,9.822569,111.43217,13322.176,63.205406,0.55302274
108,4615.1743,6.0148573,147.24503,5980.2607,38.017372,0.5432136
109,4442.4043,7.1102815,157.50725,10308.896,32.782684,0.39625213
110,3769.412,6.094332,129.52348,12580.481,17.453598,0.24613461
111,3089.733,7.1969852,179.66888,9034.021,23.653614,0.28246248
112,3563.2397,6.4273148,119.573044,12348.343,21.35849,0.28559777
113,4836.941,10.3401785,195.3685,13010.17,70.12875,0.5828837
114,3662.667,9.848781,184.26498,5930.961,106.72243,0.9312947
115,3204.4023,9.972282,107.83585,11953.645,82.176186,0.7082154
116,2230.017,7.3901625,137.55579,5365.3086,40.65139,0.472754
117,2696.176,10.405468,152.25613,12317.492,53.990173,0.44593033
118,4583.3525,8.13875,157.29506,7011.7593,74.67805,0.7885862
119,3447.1797,7.8522787,161.85872,8099.4175,42.43653,0.46447042
120,3400.1104,9.846081,169.62141,10600.545,60.166267,0.5251744
121,4084.041,10.155579,152.99501,5625.1206,165.68143,1.4021128
122,2513.1094,6.7031736,125.60356,9344.875,21.495924,0.27560654
123,3398.671,10.880074,173.65945,7925.672,106.01049,0.83739597
124,3078.1184,8.247677,102.03755,10923.787,51.64469,0.53815573
125,4284.831,9.165851,120.36467,9233.268,98.9638,0.92793477
126,4720.736,6.0106583,137.4835,5410.4897,45.937504,0.6568395
127,4441.8613,8.778314,125.64433,8388.98,95.02216,0.9303101
128,4618.3335,7.2627096,132.50833,10201.9,43.625034,0.5162393
129,2159.447,6.934648,109.01891,11963.966,18.404224,0.22809042
130,2967.4749,7.4561844,139.36424,6930.883,42.449818,0.48929754
131,3677.624,8.488355,160.68782,6764.1255,68.97981,0.6984131
132,2225.9678,7.787797,117.42671,11527.343,25.890797,0.28572264
133,3906.909,6.8985147,147.43404,6798.8057,42.652893,0.53138185
134,2516.7773,10.289961,185.79254,7721.3447,63.715263,0.53216183
135,4142.7686,9.243748,144.85999,5002.187,150.52383,1.399494
136,4714.0283,6.1733885,151.38962,8415.952,29.016323,0.40395468
137,2216.8264,9.024419,145.68655,5911.7964,63.056408,0.60051495
138,4756.9136,9.114122,160.11906,10205.01,73.46697,0.69277334
139,4199.9023,8.591864,181.79198,13144.096,37.15991,0.37170735
140,2510.1174,9.107064,197.3623,11498.411,27.848764,0.26280972
141,4935.7666,8.290689,181.75279,5748.451,89.73739,0.93024343
142,2200.8674,9.593357,197.47067,13533.821,24.236025,0.21712244
143,2490.1704,6.740051,146.38391,5478.527,31.691309,0.40410188
144,2753.8315,7.434046,105.08392,7773.3867,46.168453,0.53374517
145,3424.0425,10.372766,126.29614,12024.697,83.87592,0.69495493
146,3769.3555,6.9511485,184.04526,11635.251,19.706758,0.24365339
147,3059.794,9.726579,149.67587,11979.915,52.341446,0.46248692
148,2078.229,10.813181,125.14768,8429.109,83.02865,0.6599157
149,3326.8525,6.213973,111.68441,5559.213,42.85629,0.5927329
150,4638.074,7.4047384,103.2074,5094.0103,119.39193,1.3857315
151,4654.9062,10.633436,107.79959,9868.725,175.36075,1.4173355
152,4250.8877,8.348833,139.85815,5146.564,114.55936,1.1792847
153,3717.7834,8.993534,177.4203,6533.6313,77.76712,0.74315524
154,3872.712,8.855799,177.03204,12440.732,40.707962,0.39506218
155,2343.6357,9.530248,101.778404,8807.23,75.43735,0.6802932
156,4107.409,7.469921,181.1891,11070.594,28.450623,0.32733288
157,2007.1462,8.824555,110.87453,5959.794,69.57822,0.67763263
158,2880.5454,10.202952,139.42949,10213.305,71.616005,0.60325116
159,3105.8042,8.289093,129.72636,13554.878,33.53127,0.3476617
160,4601.498,6.20636,140.36923,10318.107,25.31727,0.35058537
161,3456.274,9.364139,140.18286,10293.739,65.55749,0.6016838
162,2816.736,7.861785,105.1325,6723.0146,64.54867,0.7056349
163,3762.063,7.972579,106.8281,6246.2734,95.23461,1.0266203
164,2255.3445,9.803839,142.17603,12123.344,41.099003,0.3602874
165,3102.8638,8.938133,150.6466,5471.241,89.605934,0.8615962
166,3915.4282,6.98762,127.286255,9224.338,37.92531,0.46645924
167,3400.6575,7.346324,168.83496,5894.2173,45.16098,0.5283323
168,3342.4705,8.119976,104.99708,9816.271,57.874443,0.6125562
169,4416.7627,7.882337,146.62564,5090.502,96.600044,1.0532614
170,2360.5579,7.970751,193.97098,10989.729,18.692497,0.20154963
171,2742.6116,6.7912273,129.60541,9507.657,23.237595,0.29407412
172,4951.957,10.311066,195.15015,6540.949,141.76094,1.1815903
173,3798.4834,9.796555,168.1077,7824.4297,90.504196,0.79397947
174,3257.1335,8.993364,104.87695,7701.716,97.771736,0.9343401
175,4276.9795,9.066053,181.63486,7479.997,78.1934,0.74125165
176,4402.377,8.79267,144.23029,8377.851,82.55422,0.80692345
177,3249.3481,10.369335,127.67966,10329.096,91.567986,0.7589387
178,2875.188,9.065702,189.98267,6910.838,54.388203,0.515605
179,3254.8135,8.880831,109.59524,10635.6875,65.19411,0.6309118
180,4044.6626,7.1257224,155.36525,5791.913,54.209057,0.65381795
181,3308.5056,9.333979,139.53156,13737.836,46.78647,0.4307917
182,4373.001,6.1611333,185.70563,6802.875,26.98501,0.3764228
183,2276.7722,9.288471,163.95723,11413.502,32.499866,0.30071232
184,2764.0525,6.333027,174.02527,6419.7803,20.94723,0.28426877
185,4643.51,7.4653206,167.65794,6428.496,59.749866,0.68786365
186,3696.7834,9.819847,137.97626,8839.464,95.67239,0.83732843
187,3802.0576,7.01097,139.48473,6936.492,45.140385,0.5533514
188,3993.343,10.490683,108.79593,8240.973,171.40974,1.4042537
189,3145.56,7.118699,177.09221,7542.6055,28.317686,0.3418779
190,2900.1384,10.867977,189.69891,8241.486,79.37308,0.6276801
191,3930.3262,9.270531,184.21124,6021.2954,94.10551,0.87241745
192,3102.4536,7.4166145,114.73109,13888.817,26.476145,0.30680537
193,2880.3533,10.024697,152.23,12038.021,52.781643,0.45250726
194,3698.1763,6.2860184,114.753296,7892.4395,33.807796,0.46222675
195,3862.822,6.916273,122.47579,12767.783,27.24169,0.33851337
196,3364.5625,6.9337254,120.86472,7495.1074,41.269558,0.511537
197,2485.5571,8.8291,167.08725,5823.9404,58.599174,0.57041246
198,3273.1968,8.745607,120.204346,10941.357,55.491875,0.5453224
199,2649.9087,6.349732,148.90915,7951.494,19.098783,0.25850216
200,4289.475,10.912401,152.10341,12884.358,94.80738,0.74668205
201,2506.1006,8.497611,182.23116,8289.076,33.93431,0.34320694
202,4696.0044,7.1650085,112.203995,5836.101,87.92781,1.0546865
203,4097.4326,8.559715,115.67439,13294.517,55.70046,0.5592594
204,2215.5244,7.4268665,120.96692,10510.091,23.79573,0.27536407
205,4613.1514,9.18973,184.99667,10865.729,59.369293,0.55523014
206,2016.5957,9.405024,132.02675,9064.801,46.725834,0.4269835
207,3412.788,7.7908473,192.17444,5921.8433,47.27043,0.5214573
208,2563.4644,8.645745,168.08038,10948.672,30.007849,0.29829523
209,2209.5872,9.98752,156.3313,9512.154,49.344418,0.42461395
210,3648.62,6.873922,149.6278,6520.5967,40.487545,0.50621
211,2772.712,7.9425297,140.11592,12064.381,27.394758,0.29643026
212,4584.254,8.131188,156.27332,5286.13,99.44589,1.0511065
213,2320.8352,6.845968,138.58276,6707.1714,26.704165,0.33524165
214,4745.034,8.703618,149.64868,8450.764,82.46103,0.8142593
215,4404.9453,8.591882,156.37965,5282.0757,112.745514,1.1277812
216,4813.79,6.4806786,110.88975,5448.863,72.28199,0.9585692
217,3060.752,9.012842,123.79343,8148.038,74.052826,0.7061447
218,2580.5676,10.886166,190.37463,8651.716,67.376335,0.5319201
219,2503.4524,9.829735,109.42267,12800.989,56.58387,0.494726
220,4747.3555,7.1439047,146.4097,11599.924,33.971325,0.40868688
221,2753.9365,10.788417,199.46194,13683.978,42.2312,0.33642605
222,3315.3088,6.781515,168.06186,10897.77,18.818117,0.23848622
223,3268.7952,7.2288857,151.41565,10101.839,26.909727,0.3199277
224,3758.0566,9.602733,106.6695,8632.787,120.45791,1.0780883
225,2269.131,10.488853,174.76889,7601.62,65.69799,0.5383168
226,4709.509,10.8857155,114.38596,5468.6577,323.72168,2.555811
227,2390.0923,10.652311,135.8068,5389.749,131.56334,1.0614631
228,4975.339,7.1233854,133.22418,11414.734,39.41957,0.4755972
229,2913.0737,9.072066,142.59563,6651.598,76.4393,0.7241429
230,2830.3667,6.930215,150.5469,7653.9873,27.252226,0.33796299
231,3293.8213,8.555208,191.24039,11602.992,30.98282,0.3112463
232,3943.934,10.571262,156.24194,6718.2354,147.95721,1.2028824
233,3222.0728,9.730979,194.78464,11163.771,45.511173,0.4019531
234,2002.9274,6.1915655,180.58563,9250.986,9.485804,0.1316702
235,4555.075,7.4240685,118.389305,10428.572,50.322582,0.5825521
236,4985.7324,6.3906474,172.4252,7450.157,33.765728,0.4540933
237,4256.793,9.677678,114.6552,12781.225,87.76241,0.7793836
238,4967.789,8.182637,128.80875,5819.3247,121.03301,1.2712308
239,3908.8257,6.6724424,164.70613,5298.9004,44.349022,0.57123274
240,3382.4604,7.7011404,166.50961,13010.98,23.769896,0.26526874
241,2305.257,9.320411,187.51141,6459.8076,51.363667,0.4736252
242,2188.9927,8.731449,133.9042,13819.762,26.24746,0.2583538
243,2467.2546,10.845768,150.08005,11498.759,60.799458,0.48178503
244,3119.4155,8.466808,175.74118,11236.77,31.959217,0.32440707
245,4373.4604,9.286392,101.64539,8942.738,128.436,1.188649
246,2881.124,7.7426825,186.14903,10346.426,23.145359,0.25691316
247,3441.7412,8.79832,108.65388,10653.998,67.49915,0.6593446
248,3478.8306,8.589559,150.68912,7383.929,66.04731,0.6608428
249,2519.4817,10.647453,141.49916,12812.278,55.9174,0.4513517
250,3459.3948,9.547526,123.66635,12265.782,66.1614,0.59556293
251,4948.3306,7.0752697,156.60855,9764.582,38.20299,0.4640537
252,4698.882,6.2786064,191.34595,10790.25,18.776398,0.2570176
253,4642.4287,6.1214027,135.38402,8953.825,29.28201,0.41111544
254,3352.0605,7.5921044,120.31529,7874.5684,51.609493,0.58422655
255,3526.6025,8.823163,131.50806,6031.288,101.79953,0.99159735
256,4320.0303,10.851915,100.44258,7771.286,235.7621,1.8671598
257,3001.06,8.254364,172.5697,5190.5615,62.809505,0.65396667
258,2892.0933,9.477477,125.98682,8084.8496,80.56978,0.73062295
259,4783.3833,9.770563,116.63299,11854.361,107.56553,0.9461662
260,3585.6372,6.584999,121.19493,13866.108,20.308283,0.26505217
261,2487.19,6.431961,178.7478,5382.198,22.930712,0.30639946
262,4763.908,9.44729,176.47868,5759.182,131.73793,1.1984433
263,3748.9658,9.665274,188.3761,13214.147,45.328125,0.40305796
264,4302.5864,7.3359118,168.13615,7911.592,42.564316,0.49866104
265,2197.2349,8.89177,133.30202,9506.088,40.633236,0.39274174
266,3778.3574,6.0522227,136.02759,12323.629,16.655622,0.23651563
267,4417.4756,8.531511,164.7715,13485.926,41.14982,0.4145299
268,3283.6025,9.112807,191.10175,11204.189,38.684834,0.36484006
269,2647.393,8.523664,163.5946,10614.663,31.47031,0.3173135
270,4700.0903,8.103175,126.34273,9391.496,70.25312,0.74511665
271,4197.6816,9.540574,126.49613,9613.402,99.92114,0.90011245
272,3927.2085,7.812834,102.72655,11315.745,53.705975,0.5907828
273,3854.7454,10.360985,160.8024,5267.0244,168.74063,1.399692
274,3533.1074,6.3466763,121.94087,5143.7637,48.000343,0.6499978
275,4360.2,7.0712576,105.42121,12534.283,38.89087,0.47267747
276,3172.0884,6.4129176,193.84383,5095.0557,28.235153,0.37839758
277,2617.033,6.2389936,117.52944,11864.786,15.192351,0.20927836
278,4072.7722,10.353384,144.31192,12757.251,81.83827,0.6793414
279,3900.1934,7.881318,164.32468,12484.138,31.024166,0.33831027
280,4071.123,6.536183,151.59291,10872.577,22.990807,0.30230397
281,3333.3933,9.018524,116.35591,9999.965,70.046234,0.6675184
282,3300.9434,6.6068606,109.583916,11578.203,25.010035,0.3253367
283,3380.7815,8.629233,189.85413,12181.514,31.310585,0.31184074
284,3895.524,9.688456,158.14194,9641.697,77.44756,0.68701637
285,2348.962,7.9713583,191.48123,6262.0674,33.0756,0.3566065
286,2101.911,9.785191,133.23798,12299.695,40.057014,0.35182214
287,4061.294,9.013111,164.72777,10001.307,60.16498,0.5736975
288,2678.7444,6.4938993,138.5662,12210.762,14.451956,0.19126478
289,3373.816,8.992044,147.77644,6484.363,85.330246,0.8155647
290,3915.8428,10.111604,119.54779,8375.122,134.78185,1.1455796
291,3710.3892,7.9204507,166.91005,6609.206,55.70781,0.6044774
292,4466.993,8.736273,165.80829,9757.738,61.3645,0.6036774
293,3696.6252,8.818935,148.96857,13324.075,42.579533,0.41495275
294,3871.3628,8.71498,138.75488,10355.316,59.447033,0.586243
295,3365.7336,9.149872,119.17851,13325.167,54.1169,0.5083137
296,3721.4148,6.106352,184.57724,12806.318,11.948953,0.16817519
297,4050.0137,10.396788,112.77879,6404.8057,210.03873,1.7362571
298,4523.322,9.590363,170.48328,13819.669,56.449734,0.5058721
299,2078.732,8.808726,133.18732,9749.943,36.471333,0.35583806
300,2875.1553,8.954901,125.8766,13267.779,41.207767,0.39548698
301,2153.9924,6.4838305,158.98225,10371.383,11.869503,0.15733117
302,2901.9585,7.7861977,124.02715,8731.678,42.163025,0.4653934
303,4414.369,8.391258,161.52023,13320.17,40.410286,0.4138841
304,2078.747,9.094273,159.81905,6170.301,52.850544,0.49945378
305,2155.9727,7.1286025,112.87553,9600.9375,24.022696,0.2896218
306,4368.534,8.765261,158.32492,8869.647,69.83182,0.6847033
307,2614.1943,7.7241306,171.29646,9703.33,24.159962,0.26881936
308,4596.299,10.319698,169.79155,8208.943,120.80493,1.0060776
309,3967.3838,6.354097,143.70607,13072.801,18.059294,0.24426475
310,3876.525,8.761332,109.01062,9264.791,86.04531,0.8440555
311,4691.6187,10.193737,142.2923,11359.405,102.48604,0.86406255
312,2110.5574,6.558295,167.36539,11437.836,10.366667,0.13585079
313,4598.4424,8.428347,131.75615,13600.122,51.21568,0.52224517
314,3986.4465,9.655231,168.97906,11118.091,63.663372,0.5666838
315,2494.8354,9.508813,183.29813,5014.1104,77.79429,0.70312935
316,3864.968,8.794001,123.89242,5769.39,122.57715,1.197945
317,3081.9507,9.51059,150.49309,5248.545,111.88486,1.0110619
318,2897.9146,6.757258,170.67496,5088.3154,34.31879,0.43649107
319,3337.545,10.582213,153.91888,5755.963,148.80774,1.2085452
320,2792.8025,8.5557575,154.17657,9434.41,40.083096,0.4026398
321,4811.6553,10.116018,156.24327,13759.0205,77.23483,0.6561718
322,4791.053,9.05305,110.69261,6587.5747,162.49884,1.5426567
323,3339.9834,8.221882,153.92941,11393.168,35.283417,0.36881897
324,2169.835,9.570844,184.62349,7446.7734,46.121243,0.41415668
325,3408.2368,10.873251,195.0557,12986.083,57.656723,0.4557266
326,3599.1057,10.966042,179.38754,12426.7,70.970024,0.55621016
327,4502.632,6.3956347,156.70015,11590.883,21.617737,0.2904962
328,3548.2612,8.651624,173.35071,13464.357,32.815266,0.32598093
329,3936.569,6.704059,125.67602,6105.948,51.523415,0.6605119
330,3898.003,9.956621,108.56558,5678.8857,208.01831,1.7955745
331,2648.8977,10.294736,107.003944,7200.975,125.02545,1.0437516
332,2569.5698,6.744506,199.8805,10412.051,12.626496,0.16089652
333,2159.3447,8.355511,181.73947,13478.2295,17.141058,0.17631063
334,3488.2207,10.229946,115.43831,12471.078,86.46668,0.7264225
335,3964.5942,10.153267,169.56213,10906.597,74.79573,0.6331183
336,3393.3428,6.620326,187.75838,8701.121,20.089546,0.26079822
337,4955.999,10.1785755,199.98074,6944.968,125.433205,1.059106
338,3213.8562,8.057402,193.71974,13975.293,20.699291,0.22078739
339,2521.2095,6.3738194,188.7377,5561.139,20.733112,0.27956232
340,3750.0017,8.997997,138.53703,6395.8584,102.77396,0.9816374
341,3077.5835,9.664656,132.45291,12148.295,57.553394,0.5117978
342,3294.366,9.999302,191.05244,13010.486,44.168583,0.37962753
343,4953.425,6.800193,178.01898,10682.711,27.302364,0.34505865
344,3456.9614,6.6892934,119.91105,9421.385,30.530933,0.39225978
345,4810.3125,6.820272,194.95087,8965.352,29.104797,0.36675563
346,3700.3184,9.91678,174.15793,10086.109,68.47989,0.5934802
347,2941.9673,6.3150473,177.25677,7235.817,19.255554,0.2620555
348,4599.7393,8.478919,118.66118,13948.936,56.46556,0.57234395
349,2645.5566,7.765348,164.345,13994.27,17.95444,0.19871232
350,3549.6304,9.591512,132.47188,7758.482,101.583374,0.9102265
351,3837.1611,8.99096,189.06783,12624.369,38.94751,0.37229532
352,4173.251,7.237561,141.00298,8430.405,44.366302,0.5268353
353,2116.0107,8.9366665,169.46562,6235.658,47.638638,0.4581394
354,3573.5835,10.800669,158.88109,10272.578,91.95661,0.7317221
355,3111.6206,8.91161,171.2734,8639.956,49.60579,0.4783988
356,4472.55,7.26114,133.00862,13242.163,32.40482,0.3835471
357,4004.666,8.5837,174.37857,9811.85,49.342903,0.4940422
358,4101.1953,6.2068815,115.076454,8512.972,33.3689,0.46204296
359,4401.8896,6.89601,161.29276,5925.3857,50.347744,0.6274745
360,3164.1785,8.03563,116.17041,12443.863,37.857227,0.40489528
361,3403.8958,6.942121,100.67312,12503.457,30.156984,0.3733444
362,4703.3804,10.617037,109.84721,10132.926,168.56793,1.3645375
363,2291.0164,8.985275,189.47351,9105.77,32.109673,0.30712733
364,2463.1704,10.436357,177.05179,7992.4062,65.95413,0.54313403
365,3609.7324,7.930728,196.9108,10543.049,28.910604,0.31329826
366,2905.8086,8.152312,190.05606,13818.44,19.982388,0.21065924
367,3585.9065,9.130613,105.34773,8758.594,98.60932,0.9281793
368,4825.04,7.756651,115.87845,9910.578,65.3583,0.7241698
369,3326.1145,7.6478176,141.92087,5212.673,67.03811,0.7533523
370,2221.048,6.047561,117.52838,10648.811,13.083793,0.18593763
371,2818.1338,10.383368,184.71982,7571.9727,75.18523,0.62231195
372,4877.5503,10.762573,112.19961,8433.07,214.21596,1.7106043
373,3170.4658,6.0246944,125.60493,7113.525,25.865171,0.3689727
374,2842.2832,7.672854,101.69543,13667.313,30.791601,0.34489688
375,4175.1895,6.6090302,121.612724,12564.28,26.293688,0.34192246
376,3685.6943,7.485186,191.12387,7562.1045,35.64908,0.4093168
377,2177.4807,10.403276,190.938,8396.327,50.975536,0.42111963
378,4749.1797,9.837302,185.79189,10870.646,74.61794,0.6519002
379,4344.6875,8.30602,188.60635,11193.385,39.30958,0.4067423
380,4803.7773,9.567755,194.45932,7381.4473,97.70605,0.87765795
381,4156.399,9.246602,137.19685,11327.535,70.47952,0.65508044
382,2994.269,9.8652935,172.0001,10215.492,54.53955,0.47513324
383,3010.329,6.490999,194.54652,12085.898,11.671456,0.15453517
384,4226.933,9.272768,166.54094,7068.252,95.43315,0.8845121
385,3209.2192,6.132267,199.98383,6594.422,18.705519,0.26215765
386,3794.08,6.8558364,175.93314,11592.281,19.98251,0.25049752
387,2046.5177,7.568365,181.08241,9324.414,17.514698,0.19889069
388,2758.5166,8.256427,132.5004,7539.0757,51.80783,0.5392836
389,4057.1714,6.140738,173.99138,13031.869,13.811134,0.19329594
390,3426.0518,8.562218,155.74533,8999.422,51.144833,0.5133687
391,2778.874,8.899141,138.05913,6494.7173,72.80589,0.7031247
392,2191.5989,7.507835,121.81451,8857.719,28.652536,0.32799122
393,4453.34,9.310883,121.94417,7415.129,132.51268,1.2231518
394,3198.4116,10.684559,111.525955,7945.8613,146.7459,1.1803838
395,2026.2006,8.072964,183.56651,5795.494,33.40229,0.35559618
396,4947.177,7.1685534,185.54657,13092.1,25.007399,0.29981327
397,4229.94,6.285429,144.30936,13459.523,18.025757,0.24647479
398,2602.7915,6.674493,121.065704,5703.816,37.35823,0.4810408
399,2405.253,7.1172814,188.64526,12315.029,12.442297,0.15024509
400,4949.469,6.6518145,181.97446,10815.305,24.67224,0.31877357
401,3506.263,7.517124,153.7167,7675.201,42.07921,0.48109382
402,2597.8662,9.877213,126.393234,8180.1724,80.70723,0.7022503
403,4363.17,9.282305,195.9524,10267.082,57.816357,0.53531426
404,3187.5513,10.75331,170.44704,10454.674,74.141685,0.59256256
405,3602.7544,10.982117,112.04273,13320.477,106.57814,0.8340574
406,2718.5996,7.599733,197.85414,13799.964,14.567864,0.1647447
407,2229.5078,7.520952,187.96869,9759.709,17.233912,0.19693592
408,2503.816,8.842113,131.77545,13732.849,31.882626,0.3098931
409,3335.2954,6.5092945,178.10773,6838.6167,25.174667,0.3323868
